spriteid,nx1,nx2,nx3,nx4,rx1,rx2,rx3,rx4,lx1,lx2,lx3,lx4
,ny1,ny2,ny3,ny4,ry1,ry2,ry3,ry4,ly1,ly2,ly3,ly4
0,-60,-60,60,60,-60,-60,60,60,-60,-60,60,60
,0,85,85,0,0,45,30,0,0,35,45,0
1,-65,-65,65,65,-65,-65,65,65,-65,-65,65,65
,0,90,90,0,0,50,40,0,0,45,60,0
2,-65,-65,65,65,-65,-65,65,65,-65,-65,65,65
,0,100,100,0,0,65,30,0,0,35,60,0
3,-80,-80,80,80,-80,-80,80,80,-80,-80,80,80
,-5,90,90,-5,-5,50,30,-5,-5,30,60,-5
4,-75,-75,75,75,-75,-75,75,75,-75,-75,75,75
,-10,90,90,-10,-10,40,25,-10,-10,30,50,-10
5,-80,-80,75,75,-80,-80,75,75,-80,-80,75,75
,-10,90,90,-10,-10,45,25,-10,-10,30,45,-10
6,-70,-75,70,65,-70,-75,70,65,-70,-75,70,65
,-10,95,95,-10,-10,45,25,-10,-10,25,45,-10
7,-55,-55,60,60,-55,-55,60,60,-55,-55,60,60
,0,90,90,0,0,50,25,0,0,30,50,0
8,-70,-70,70,70,-70,-70,70,70,-70,-70,70,70
,0,85,85,0,0,50,30,0,0,30,50,0
9,-60,-60,60,60,-60,-60,60,60,-60,-60,60,60
,0,85,85,0,0,55,30,0,0,30,70,0
10,-50,-50,50,50,-50,-50,50,50,-50,-50,50,50
,0,85,85,0,0,55,35,0,0,35,55,0
11,-55,-75,75,60,-55,-65,65,60,-55,-60,60,60
,0,90,90,0,0,40,30,0,0,30,45,0
12,-60,-70,70,60,-60,-70,55,60,-60,-70,70,60
,0,85,85,0,0,50,30,0,0,35,65,0
13,-65,-65,65,65,-65,-65,65,65,-65,-65,65,65
,5,90,90,5,5,60,45,5,5,50,60,5
14,-55,-55,55,55,-55,-55,55,55,-55,-55,55,55
,0,85,85,0,0,40,25,0,0,30,50,0
15,-70,-70,70,70,-70,-70,70,70,-70,-70,70,70
,0,90,90,0,0,50,30,0,0,30,50,0
16,-70,-70,65,65,-70,-70,65,65,-70,-70,65,65
,0,85,85,0,0,55,35,0,0,40,50,0
17,-70,-70,70,70,-70,-70,70,70,-70,-70,70,70
,0,85,85,0,0,50,35,0,0,35,55,0
18,-55,-55,55,55,-55,-55,55,55,-55,-55,55,55
,0,90,90,0,0,50,30,0,0,30,50,0
